company,title,news,evaluation,year,month,day
Exxon Mobil,"John Sauven: 'I want to claim the arctic region for all of mankind'; The Monday Interview: As his campaign group turns 40, Greenpeace director John Sauven tells Michael McCarthy how he plans to save the Pole from big oil","[...] The average September minimum extent of the ice, from 1979 to 2000, was just over seven million square kilometres; this week it is likely to reach a new low of about 4.2 million km2, a 40 per cent drop in a decade. Vast areas of the Arctic are ice-free this week; the long-fabled Northwest Passage is open, and this week you can sail from the Atlantic to the Pacific without going through the Panama Canal or round Cape Horn. It means that climate change is having its most unmistakable effect so far on the fabric of the Earth. Yet it also means that gluttonous eyes are being cast on the Arctic for what it holds, not least its 160bn barrels of oil, both by the ""supermajor"" oil companies such as Shell and Exxon Mobil, and the countries by which the Arctic Ocean is surrounded - Canada, Russia, the US, Norway and Denmark (via Greenland). [...] ""And what we want do,"" says John Sauven, who is executive director of Greenpeace UK, ""is say that this area, which is currently not national territory, this area of sea ice around the North Pole, should be a 'global commons', collectively owned by humanity under the auspices of the United Nations. [...] So now Greenpeace, Mr Sauven says, is planning a global campaign to make the North Pole off-limits. Internalionalised. No development. No oil drilling. No territorial claims. [...]",negative,2011,9,12
Exxon Mobil,Source of gas-tracer funding fuels probe,"THE Commonwealth Ombudsman has launched a full investigation into the Australian Bureau of Agricultural and Research Economics over greenhouse gas emission research funded by fossil-fuel industries. ABARE has until 8 22 to give Ombudsman John Wood relevant documents after a preliminary investigation last month found grounds to proceed. The Australian Conservation Foundation made a complaint after a series of ABARE reports showing the costs to the community of limiting greenhouse gas emissions. ABARE had set up steering committees to direct research. BHP, EXXON, MOBIL, Statoil, Texaco, the Business Council of Australia and the Electricity Supply Association each paid $50,000 for a seat. CRA and the Australian Aluminium Council each paid $25,000.[…] ABARE information was used by Ministers for public statements and to shape government policies.[…]",negative,1997,8,5
MICROSOFT,"Greenpeace slams Microsoft, Nintendo's 'toxic' gadgets","AMSTERDAM - Microsoft and Nintendo are taking too long to phase out toxic chemicals from their game consoles, Greenpeace said in its latest environmental ranking of leading electronics companies. Nintendo became the first company to score zero out of a possible 10 points in the Greenpeace ranking and provided no information to consumers on the substances it uses or future elimination of hazardous materials, the environmental organisation said.  Microsoft, judged on its Zune MP3 player and Xbox game console, lost points for its pledge to eliminate toxic chemicals only in 2011 and for having no voluntary takeback program. Microsoft said in a statement that it is committed to environmental progress. &#34;In our consumer electronics business, we comply with and exceed all environmental guidelines and regulations,&#34; while ensuring the durability, safety and performance of products, the company said. A public relations firm working for Nintendo said it was unaware of the Greenpeace report and was checking. Greenpeace said TV producers Philips and Sharp have poor policies on taking back and recycling outdated products. Greenpeace added the four companies to its quarterly environmental rankings for the first time and put them at the bottom of the list of 18 companies. […]",negative,2007,11,29
PEPSICO,PESTICIDE PANIC,"NEW DELHI: India's top court has asked local subsidiaries of Coca-Cola and PEPSI-Co to disclose ingredients in the soft drinks they sell here, after allegations they contain high levels of pesticide.  The Supreme Court notice yesterday came after a New Delhi-based independent research body said it found pesticide residue in samples of Coke and PEPSI, 24 times above the limits set by the Bureau of Indian Standards.The Centre for Science and Environment in New Delhi said it carried out tests on 57 samples taken from 11 soft drink brands made by Coca-Cola India and PEPSICO India. The centre said it found a ''cocktail of three to five different pesticides'', all apparently present in ground water used. Both companies had denied the charges, saying the soft drinks they manufacture and sell in India ''comply with stringent international norms and all applicable national regulations''.[…]",negative,2006,8,6
Exxon Mobil,"High-cost oil projects may be wasted, report says","More than $1tn (£600bn) is being gambled on high-cost oil projects that will never see a return if the world's governments fulfil their pledge to tackle climate change, says a new report. The Carbon Tracker Initiative (CTI) research found that $1.1tn of capital expenditure is expected in the next decade in expensive oil sands, deepwater and Arctic projects, but that this investment will be lost if policymakers agree to slash carbon emissions. [...] But recently ExxonMobil said it thought it was ""highly unlikely"" that the world would cut carbon emissions enough in order to tackle dangerous climate change. ""ExxonMobil's attitude that the risk of climate action is near zero seems an irresponsible attitude to risk management to me,"" said Anthony Hobley, chief executive of CTI. [...]",negative,2014,5,8
CHEVRON,CHEVRON SEEKS FEES IN RACKETEERING TRIAL,CHEVRON is seeking $32.3 million in legal costs after winning racketeering judgment against attorney Steven Donziger over pollution from oil work in Ecuador; Donziger has filed appeal of ruling (M),negative,2014,3,20
Exxon Mobil,International: US court slashes Exxon Valdez damages,"The US supreme court yesterday threw out a punitive damages order against the oil giant Exxon for one of the world's worst environmental disasters, ordering it to pay the equivalent of two days' earnings for the 1989 Exxon Valdez tanker spill off Alaska. The judges, in a five-three decision, said an original award of $2.5bn (£1.27bn)in punitive damages against Exxon was excessive. Instead, it ordered the company to pay $507.7m to about 33,000 Alaska fishermen and other victims of the spill.[...] Greenpeace's US director, John Passacantando, commented on the ruling: ""For the court to require a company that posted the highest quarterly results in US corporate history in February to pay a mere $500m in punitive damages to affected Alaskans makes a mockery of justice.""[...]",negative,2008,6,26
INTEL, Chips are down for Irish high-tech boom," Environmental objections to INTEL's plans for a huge expansion at a microprocessor plant are worrying the industry, writes Douglas Dalby.  INTEL'S blueprint for a E2billion (£1.4billion) expansion of its chip-manufacturing plant in Co Kildare, Ireland, threatens to split the local community and leave the Irish government's plans for inward investment in real trouble.  The heritage trust, An Taisce, the local planning alliance and a resident in the town of Leixlip have lodged objections to the project, known as Fab 24-2.[…] The organisation is concerned that there is no reference made to the European Union's Seveso directive, which is a mandatory emergency plan governing the prevention of chemical accidents. This includes fire services. […] INTEL has largely succeeded in cultivating a pristine image. Media photographs of the sprawling Leixlip plant invariably portray employees in white boiler suits involved in the production of the cutting-edge technology responsible for driving over 80% of the world's computers.  But to make omelettes, eggs have to be broken. Some critics prefer to emphasise the flipside of chip processing; the 21 exhaust stacks that dot the factory skyline and emit a mixture of steam and acidic gases, although there is no suggestion that the company has ever breached Environmental Protection Agency (EPA) guidelines.[…]",negative,2005,8,14
CHEVRON,Nigeria; Oil Communities Want Role in Repairs of Vandalised Pipelines,"COMMUNITIES affected by oil spill in Delta State have asked oil companies operating in the Niger Delta to engage people of the area in the repairs of vandalised pipelines, declaring that a situation whereby the oil companies would bring in expatriates to effect the repairs while the natives are neglected was unacceptable. The communities, under the aegis of the Movement for the Emancipation of Oil Impacted Communities, through a letter addressed to the management of the Pipelines Products and Marketing Company (PPMC), Shell Petroleum Development Company (SPDC) and CHEVRON Nigeria Limited demanded that oil companies operating in the Niger Delta should urgently conduct an Environmental Post-Impact Assessment and engage members of the affected communities in effecting repairs. […] According to the letter: ""we condemn in its entirety all spillages caused by suspected act of vandalisation been aided by top PPMC and SPDC staff and security agents. We therefore demand that oil companies should henceforth give oil spill mapping, clean up, remediation and restoration jobs to any of our qualified persons or companies. It is obvious that engaging our people and companies for any of the repair jobs shall go a long way to bring about permanent peace and cordial relationship between the oil companies and any of our affected communities. ""It is an established fact that the areas where we live have been polluted and degraded by oil spillage, as such we will not henceforth allow outsiders who are not in any way related to our communities or those already managing and benefitting in the affairs of this country, to also use their majority position and riches to take away jobs that we can do to ameliorate our sufferings. However, any attempt by the oil companies to contract out any of the jobs without considering our indigenous companies and people from our communities particularly those with a recommendation from communities where a job is expected to be carried out shall henceforth be at your own risk"" it stated.",negative,2006,3,30
Exxon Mobil,Extract from An Inconvenient Truth,"THERE is a misconception that the scientific community is in a state of disagreement about whether global warming is real, whether human beings are the principal cause and whether its consequences are so dangerous as to warrant immediate action. [...] The misconception that there is serious disagreement among scientists about global warming is actually an illusion that has been deliberately fostered by a relatively small but extremely well-funded cadre of special interests, including EXXON MOBIL and a few other oil, coal and utilities companies. These companies want to prevent any new policies that would interfere with their current business plans that rely on the massive unrestrained dumping of global warming pollution into the Earth's atmosphere every hour of every day.",negative,2006,10,28
Exxon Mobil,"Nation bids adieu to Trudeau: A roundup of the events, big and small, that made news this week.","[…] Exxon appeal rejected. The U.S. Supreme Court rejected an appeal by Exxon Mobil of a $5-billion U.S. court penalty imposed on the company in connection with the infamous Exxon Valdez oil spill in Alaska in 1989. The oil-tanker spill was the worst in U.S. history, polluting 1, 600 kilometres of coastline. The Exxon appeal focused on the alleged misconduct of a bailiff who escorted the jury to and from court during the 1994 trial. The bailiff, Don Warrick, was reported to have pulled out his gun one day, taken out a bullet and made remarks about a juror who had become confused and distraught during the jury deliberations. But the Supreme Court said it agreed with the trial judge and appeal court that Warrick had not prejudiced Exxon's ability to get a fair trial. An Exxon official said the company has other appeals pending against the $5 billion in punitive damages. […]",negative,2000,10,8
INTEL,"Environment, Social and Governance Supplement: Case Study: Technology Sector - Sustainable and responsible investing","[…]. That is to say, the issue is not only for public authorities concerned to reduce energy consumption, but is also reflected in a genuine competitive advantage on the market. For example, the recent success of the company AMD in the face of its powerful competitor INTEL is explained to a great degree by the technological progress it has made in dual-core microprocessors, which consume less energy while performing better.[…] The interest paid by some NGOs and by public authorities to the question of waste and hazardous substances is not recent. In 1989, the United Nations adopted the Basle Convention on the export of hazardous substances. Following that first international reference framework, national initiatives have succeeded one another, supported by a series of European directives from 2003 to ensure that waste management in the technology sector is fully taken in hand by producers and distributors. This ever more urgent regulation is leading companies in the sector to make provisions and to organise themselves differently. Waste management combined with the directives concerning hazardous substances in electrical and electronic equipment not only involves the introduction of recycling processes but also fundamental changes to manufacturing processes, underlying R&D expenditure, the review of product design and so on. In the technology sector, a research institute (AMR Research) has estimated that 2 per cent of companies' revenues in the sector should be allocated to meeting these standards. For its part, the European Commission has estimated a total cost of between E650m and E1.05bn per annum for the Europe of the 15. The impact may also be positive to the extent that companies that are innovative concerning respect for the environment may concentrate on increasing their market share by highlighting this competitive advantage. Dexia AM sustainability analysts believe that the importance of the management of waste and dangerous substances is reaching a peak in the sector. In the next five years, we think that the relevance of management of waste products reaching the end of their life cycle will be a constant issue for companies. On the other hand, it is anticipated that the question of hazardous substances in products will increase in relevance in the future, many companies still not having fully factored the consequences of the new legislation.",negative,2006,11,6
Exxon Mobil,Exxon pays $2.64 million to settle EPA complaint,"Exxon Mobil Corp. has paid $2.64 million to settle a complaint by the U.S. EPA that the company disposed of and improperly handled polychlorinated biphenyls on an offshore oil and gas platform. The incident occurred in the Santa Barbara Channel, off the Southern California coast, in violation of the federal Toxic Substances Control Act. Two large electrical transformers leaked nearly 400 gallons of PCB-contaminated fluid between 2002 and 2005, according to the EPA. Exxon allowed one of the transformers to leak for almost two years before repairing it, according to the agency. Exxon also failed to provide workers who cleaned up the leaked fluid with protective clothing or equipment to protect against direct contact with and inhalation of PCBs, according to the EPA.[...] ",negative,2008,9,1
Exxon Mobil,MORE TOXIC SLUDGE FEARED IN WATERWAY,"WORKERS BUILDING a park on Newtown Creek hit underground toxic sludge that must be pumped out and trucked away, environmental advocates and elected officials charge. Councilman David Yassky (D-Greenpoint) and activists from the group Riverkeeper charge the discovery highlights severe environmental contamination along the North Brooklyn waterway - just across from the city's planned Olympic Village in Queens. ""This is the tip of the iceberg,"" said Yassky, who together with Riverkeeper has filed a high-profile lawsuit against EXXONMOBIL over a decades-old 17-million-gallon oil plume lurking nearby beneath Greenpoint. The activists are calling on the city and state to move aggressively to clean up the area. ""Newtown Creek is lined with dozens of toxic sites and underground oil spills as well as 20 sewer outfalls,"" said Basil Seggos, chief investigator of Riverkeeper.[...] ",negative,2005,2,24
GENERAL ELECTRIC,Metro Business; Business Group Backs G.E. on PCB's,"New York corporations closed ranks yesterday around General Electric in its opposition to dredging PCB-contaminated sediment from the Hudson River. The Business Council, the most powerful business lobbying group in New York State, said in an announcement in Albany that vengefulness by G.E. critics must not be allowed to guide policy at the federal Environmental Protection Agency. ""To them, big corporations like G.E. are evil polluters, who must be punished,"" the president of the council, Daniel Walsh, said in a letter to the federal agency. In December, the agency plans to announce its decision on how best to deal with PCB hot spots in the Hudson River north of Albany. G.E. legally discharged the PCB's (polychlorinated biphenyls) into the Hudson until 1977, when the chemicals were banned by the federal government. G.E., with its own scientific studies and a television public relations campaign, is trying to convince the federal agency that dredging is not the best solution. The company says that the river is getting cleaner, and that PCB's are not a cancer-causing agent in humans, despite federal officials' statements that it probably is. PCB's were used as insulating material in transformers and other electrical equipment. They have been linked to cancer in laboratory animals.  ",negative,2000,6,20
GENERAL ELECTRIC,"PCB BLOOD LEVELS NORMAL, EXPERT SAYS IN RAIL SUIT PEOPLE LIVING NEAR THE PAOLI YARD SAY THEY ARE AT RISK OF ILLNESS. THEY WANT LIFELONG TESTS TO BE PAID FOR.","Neighbors of the Paoli Railroad Yard who have sued over long-term exposure to PCBs have ""normal"" levels of the synthetic chemical in their blood, a toxic-chemicals expert testified yesterday. John Whysner, an expert on health risks and exposure to toxic chemicals, said he examined the neighbors' blood tests and found that their blood levels of polychlorinated biphenyls, or PCBs, were no different from those of the population at large. ""I did not find any significant exposure of the residents,"" Whysner testified after attorneys for the PCB manufacturers and users began calling witnesses to refute the neighbors' claims.  Twenty-six neighbors of the train-repair facility are suing Monsanto Co., General Electric Corp. and Westinghouse Electric Corp., along with SEPTA and the City of Philadelphia, in U.S. District Court in Philadelphia. The neighbors contend that their properties were contaminated and that they run the risk of serious illnesses stemming from long-term exposure to PCBs from the rail yard. PCBs have been linked to cancer, liver disease and other illnesses in animals. Two neighbors say they suffer from illnesses directly linked to PCBs. […]",negative,1995,11,3
CHEVRON,"Irvings break oil ranks to back Kyoto: East coast mavericks: 'Anything that helps the environment is good for everybody,' Arthur Irving says","HALIFAX - Arthur Irving, head of Irving Oil Limited, operators of Canada's largest oil refinery and a chain of gas stations, has broken ranks with petroleum industry colleagues and declared the Kyoto accord good for Canada. […] Although their views have not been unanimous, executives with Canada's oil and gas industry fought hard last year to persuade Ottawa not to ratify the climate-change agreement, saying it would increase the costs of exploring and producing petroleum, reduce the demand for oil and gas products and threaten Canadian jobs. Despite such criticisms from the industry and from leaders such as Ralph Klein, the Alberta Premier, Parliament ratified the international accord in December. Under Kyoto, Ottawa is obliged to reduce emissions of greenhouse gases in Canada to 6% below 1990 levels by 2012. […] Unlike such counterparts as CHEVRON Canada and Petro-Canada, Irving Oil also shuns any membership in industry associations such as the Canadian Petroleum Products Institute. […] One source, who asked not to be named, said it may be easier for the Irvings to support Kyoto than many Calgary-based firms, because Irving Oil does not rely for its profits on Canadian crude. While the costs of producing and refining Canadian petroleum may be higher under Kyoto, many foreign oil sources will not be affected. […]",negative,2003,1,30
GENERAL ELECTRIC,INSIDE,"At Debate, Mayor Is Conspicuous by His Absence Fernando Ferrer, left, the Democratic mayoral candidate in New York, and Thomas V. Ognibene, the Conservative, at a debate in Harlem last night. A lectern was reserved for Mayor Bloomberg, who skipped the event.   PAGE B1Pataki's Ground Zero Rebuke In an extraordinary rebuke to Gov. George E. Pataki, members of the Lower Manhattan Development Corporation board deplored Mr. Pataki's decision to bar the International Freedom Center museum from the memorial area of ground zero while the matter was pending before the board.   PAGE B1 G.E. to Dredge the Hudson Nearly three decades after PCB's were found in the upper Hudson River, GENERAL ELECTRIC has signed a binding agreement to dredge the dangerous chemicals from 43 miles of river bottom. The project is expected to cost $700 million and take at least six years.   PAGE B3 […]",negative,2005,10,7
PROCTER & GAMBLE,Baby care," When it comes to baby care, it seems that convenience trumps being environmentally friendly every time. The disposable nappy sector is worth £398m and  accounts for more than a third of total sales in the baby market.  The category  has shown steady growth of 1.53% in the last year, according to TNS.   ""Mums are  busy and convenience is still  high on the agenda,"" says Marc Hardenberg, MD of Hardenberg,  UK distributor of the Angelcare nappy bin. ""It will be a long, long, time before recyclable or washable nappies take over from disposable ones.  Growth within the nappy category is driven by superior products that meet the needs of mums and their babies, adds Usama Alqassab, babycare brand manager at PROCTER & GAMBLE, manufacturer of Pampers.   That's not to say baby product companies are  ignoring the eco agenda. Baby bottle maker Bibi has  produced a new recyclable, disposable bottle.  Pampers has reduced its nappy weight by 40% and packaging by 80%, while Huggies manufacturer  Kimberly-Clark has signed up to the Carbon Trust's carbon labelling scheme,  minimising materials that go into nappies to reduce the amount of wastage. […]",negative,2008,1,12
Exxon Mobil,Financial: Exxon chief backs carbon tax,"The world's biggest oil company, Exxon Mobil, has softened its hardline position on climate change by throwing its weight behind a tax on carbon emissions. In a significant shift in stance, Exxon's chief executive, Rex Tillerson, told an audience in Washington that he consid-ered a tax to be a fairer route to curbing emissions than a cap-and-trade system of pollution allocations.[...] Until recently, Exxon was reluctant even to concede that greenhouse gas emissions were responsible for global warming. The company has faced mounting pressure over its environmental policies, culminating in a shareholder rebellion at its annual meeting last year led by members of the oil-rich Rockefeller family.[...] ",negative,2009,1,10
WAL MART STORES,"Mayor voted for Wal-Mart, against Tarpon","An open letter to Beverley Billiris, mayor of Tarpon Springs. Dear Ms. Billiris: As a snowbird from Toronto who has been coming to Tarpon Springs each winter for eight years and now owns property here, I attended the meeting last Tuesday night. I left at midnight. […] I am a local high school student who likes to follow current events. […] These last few months I have taken down many illegally placed signs that in essence say ""Wal-Mart is bad for our environment! Everyone should hate them!"" Is polluting our town with your signs and flyers any better? How many trees did you all have to cut down to create these signs saying that Wal-Mart is going to cut them down? That is hypocrisy at its worst I am also appalled at the ignorance many people have displayed on this issue. It will hurt small businesses in the area? Which ones? If I know the area as well as I think I do, the only businesses in the area are the antique shops. If I am not mistaken, Wal-Mart has yet to add an antique section to their stores. Also, how is it going to hurt the Greek heritage of our city? It's not like they are opening up shop in the middle of the Sponge Docks. That would attack the heritage. […] Residents of Pinellas County should let these corporate giants know they are committing an environmental atrocity by boycotting the Wal-Mart name. There were/are plenty of other sites along the U.S. 19 corridor to be had for this big box store. They certainly went through a great amount of time and effort to destroy the Anclote River and its wildlife. Please e-mail or write or call the Gov. Jeb Bush's office. Appealing to the state is the only hope of saving the river now. […]",negative,2005,1,25
COCA COLA,"Exclusive: Make food and drink corporations 'account for water usage', says scientist; Food production's effect on water supplies must be investigated and properly recorded, warns Professor Tony Allan","Supermarkets and food producers should be made to account for the amount of water they use if critical global shortages are to be prevented, a leading expert on the resource has said. With 90 per cent of water used by society being taken up by food production, Professor Tony Allan believes water usage must be formally recorded in company filings to ensure that the true costs of production are recognised. Mr Allan told The Independent it is vital that major companies, such as Coca-Cola and Kraft, together with powerful supermarkets including Walmart, take a lead in establishing measures to ""capture the value of water"".",negative,2014,1,5
Exxon Mobil,COMPANY NEWS; EXXON TO GET $300 MILLION IN A PARTIAL SETTLEMENT,"The Exxon Corporation said yesterday that it would receive $300 million from Lloyd's of London and about 250 other underwriters in a partial settlement of a lawsuit to recover expenses from the 1989 Exxon Valdez oil spill in Alaska. Exxon had sought more than $1 billion from its insurance companies and underwriting syndicates for the tanker accident and oil spill. The insurers refused to pay, saying the accident was caused by the company's negligence. The company, based in Irving, Tex., still has $250 million in unresolved claims pending with Lloyd's and other underwriters. Exxon spent $3 billion to clean up the spill and to settle lawsuits.",negative,1996,1,18
Exxon Mobil,My Say: The climate change revolution,"The world is in the midst of a great political transformation, in which climate change has moved to the centre of national and global politics. For politicians in persistent denial about the need to act, including US President George W Bush, Australian Prime Minister John Howard, and Canadian Prime Minister Stephen Harper, there is no longer any place to hide. The science is clear - man-made changes in climate are being felt, and the electorate's demand for action is growing. Though unlikely just a few months ago, a strong global agreement by 2010, one that will set a path for action for decades to come, now stands a good chance of being implemented. Political leaders in countries that produce coal, oil, and gas - like the US, Australia, and Canada - have pretended that climate change is a mere hypothesis. For several years, the Bush administration tried to hide the facts from the public, deleting references to man-made climate from government documents and even trying to suppress statements by leading government scientists. Until recently, Exxon Mobil and other companies paid lobbyists to try to distort the public debate. […]",negative,2007,2,26
